Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
504,50.301,5.348424482,6.238471404,3.620780625
505,50.401,5.574824267,5.232059323,2.878882111
506,50.501,5.410082117,5.464970836,2.678323895
507,50.601,7.167840818,5.568419083,2.400941158
508,50.701,7.597075293,6.405415345,2.067095629
509,50.801,6.106301828,5.105183225,2.286844738
510,50.901,6.250188444,5.044582635,1.761582878
511,51.001,6.609908839,5.460794441,2.576962622
512,51.101,6.712250832,5.896677967,3.686210143
513,51.201,7.276348428,7.818023176,3.571525938
514,51.301,9.091514567,8.461737367,2.298798502
515,51.401,6.635386808,7.641932699,2.735717416
516,51.501,8.091995779,7.506491672,2.768991291
517,51.601,6.9987743,6.886007685,2.20370742
518,51.701,6.280335526,6.635806076,2.922968767
519,51.801,7.061068149,5.492524273,2.033920731
520,51.901,7.968718653,6.118890546,2.909756284
521,52.001,7.517524786,5.423107824,3.498862657
522,52.101,6.61061032,5.606514891,2.173780366
523,52.201,5.623341754,6.810353863,3.744837291
524,52.301,5.615122819,6.066639888,1.975262155
525,52.401,6.603286064,5.474059614,1.868174643
526,52.5011,6.596231703,5.402837434,2.590935256
527,52.6011,5.577443243,5.476119431,2.660550872
528,52.7011,5.70359553,5.684243817,2.796963183
529,52.8011,5.44083691,5.053593465,3.02767989
530,52.9011,7.009134034,5.787916721,2.856537396
531,53.0011,6.490193953,6.482341963,2.864293633
532,53.1011,5.883613153,6.501450615,2.760928971
533,53.2011,5.993687074,6.485503835,2.565127528
534,53.3011,6.560357161,6.332519913,2.936654323
535,53.4011,6.21763024,6.696028704,2.578466016
536,53.5011,6.620350285,6.999891843,2.733836454
537,53.6011,4.808771469,7.650743672,2.768925752
538,53.7011,5.98947219,6.420251079,1.917097015
539,53.8011,7.829630756,7.870450514,2.603940843
540,53.9011,5.941042385,8.192184545,3.327032909
541,54.0011,4.941243644,5.872450918,2.527961048
